AgentID,AgentName,AgentEmail,Region,YearsOfService
AG001,Sarah Johnson,sarah.johnson@insurance.com,West,12
AG002,Michael Chen,michael.chen@insurance.com,East,8
AG003,Jennifer Martinez,jennifer.martinez@insurance.com,South,15
AG004,David Thompson,david.thompson@insurance.com,Midwest,10
AG005,Emily Rodriguez,emily.rodriguez@insurance.com,Northeast,6
AG006,Robert Anderson,robert.anderson@insurance.com,Southwest,18
AG007,Lisa Wong,lisa.wong@insurance.com,Pacific,9
AG008,James Taylor,james.taylor@insurance.com,Southeast,14
AG009,Maria Garcia,maria.garcia@insurance.com,Central,11
AG010,Christopher Lee,christopher.lee@insurance.com,Northwest,7
AG011,Amanda White,amanda.white@insurance.com,West,5
AG012,Daniel Brown,daniel.brown@insurance.com,East,13
AG013,Jessica Kim,jessica.kim@insurance.com,South,16
AG014,Matthew Davis,matthew.davis@insurance.com,Midwest,8
AG015,Rachel Patel,rachel.patel@insurance.com,Northeast,10
